fldId,fldSerialNumber,fldDate,fldUserRef,fldKey,fldCount,Year,Month,Day,Day_of_week
174400288,7831,2025-01-13,285,Deal.Accessories.OEM,1,2025,1,13,Monday
174334358,5234,2025-01-13,430,Deal.Accessories.OEM,3,2025,1,13,Monday
174335052,5235,2025-01-13,511,Deal.Accessories.OEM,3,2025,1,13,Monday
174492192,7415,2025-01-13,1030,Deal.Accessories.OEM,1,2025,1,13,Monday
174334623,5234,2025-01-13,1110,Deal.Accessories.OEM,6,2025,1,13,Monday
174624445,5622,2025-01-14,29,Deal.Accessories.OEM,8,2025,1,14,Tuesday
174624501,5622,2025-01-14,33,Deal.Accessories.OEM,2,2025,1,14,Tuesday
174925005,7683,2025-01-14,64,Deal.Accessories.OEM,1,2025,1,14,Tuesday
174786860,7717,2025-01-14,262,Deal.Accessories.OEM,10,2025,1,14,Tuesday
174841456,7831,2025-01-14,285,Deal.Accessories.OEM,1,2025,1,14,Tuesday
174895228,5234,2025-01-14,430,Deal.Accessories.OEM,4,2025,1,14,Tuesday
174895275,5234,2025-01-14,439,Deal.Accessories.OEM,1,2025,1,14,Tuesday
174895971,5235,2025-01-14,511,Deal.Accessories.OEM,4,2025,1,14,Tuesday
174896003,5235,2025-01-14,512,Deal.Accessories.OEM,1,2025,1,14,Tuesday
174950492,7415,2025-01-14,1030,Deal.Accessories.OEM,4,2025,1,14,Tuesday
174895508,5234,2025-01-14,1110,Deal.Accessories.OEM,7,2025,1,14,Tuesday
174950828,7415,2025-01-14,2173,Deal.Accessories.OEM,3,2025,1,14,Tuesday
175009921,3179,2025-01-15,5,Deal.Accessories.OEM,1,2025,1,15,Wednesday
175009942,3179,2025-01-15,6,Deal.Accessories.OEM,1,2025,1,15,Wednesday
175085949,5622,2025-01-15,29,Deal.Accessories.OEM,4,2025,1,15,Wednesday
175246882,7717,2025-01-15,262,Deal.Accessories.OEM,4,2025,1,15,Wednesday
175355142,5234,2025-01-15,430,Deal.Accessories.OEM,1,2025,1,15,Wednesday
175355187,5234,2025-01-15,439,Deal.Accessories.OEM,4,2025,1,15,Wednesday
175355877,5235,2025-01-15,524,Deal.Accessories.OEM,1,2025,1,15,Wednesday
175456703,5462,2025-01-15,784,Deal.Accessories.OEM,1,2025,1,15,Wednesday
175417280,7415,2025-01-15,1030,Deal.Accessories.OEM,2,2025,1,15,Wednesday
175557221,5622,2025-01-16,29,Deal.Accessories.OEM,2,2025,1,16,Thursday
175722148,7717,2025-01-16,262,Deal.Accessories.OEM,1,2025,1,16,Thursday
175788019,7831,2025-01-16,285,Deal.Accessories.OEM,1,2025,1,16,Thursday
175825307,5234,2025-01-16,430,Deal.Accessories.OEM,1,2025,1,16,Thursday
175885103,7415,2025-01-16,1030,Deal.Accessories.OEM,1,2025,1,16,Thursday
175825591,5234,2025-01-16,1110,Deal.Accessories.OEM,2,2025,1,16,Thursday
175491114,7206,2025-01-16,1409,Deal.Accessories.OEM,1,2025,1,16,Thursday
175885461,7415,2025-01-16,2173,Deal.Accessories.OEM,1,2025,1,16,Thursday
175940233,3179,2025-01-17,17,Deal.Accessories.OEM,1,2025,1,17,Friday
176167107,7717,2025-01-17,262,Deal.Accessories.OEM,3,2025,1,17,Friday
176253013,5234,2025-01-17,439,Deal.Accessories.OEM,1,2025,1,17,Friday
176253191,5234,2025-01-17,496,Deal.Accessories.OEM,1,2025,1,17,Friday
